Tipo_Acero_Limpio,Grado_Acero,Ciclo,Familia,Muestra_Probeta_Temp,Soaking,,Alarg Max Req (merged),Alarg Min Req (merged),Alarg. Obt. (%) (merged),Fluencia 0.2% Obt (merged),Fluencia 0.5% Obt (merged),Fluencia 0.6% Obt (merged),Fluencia 0.7% Obt (merged),Fluencia Max Req (merged),Fluencia Min Req (merged),Fluencia Offset Obt (merged),Rotura Max Req (merged),Rotura Min Req (merged),Rotura Obt (merged),,,Dureza Ind. Máx. Obt 1 (merged),Dureza Ind. Max. Req (merged),Dureza Ind. Mín. Obt 1 (merged),Dureza Ind. Min. Req (merged),Dureza Prom. Máx. Obt 1 (merged),Dureza Prom. Max. Req (merged),Dureza Prom. Mín. Obt 1 (merged),Dureza Prom. Mín. Req (merged),,,Area Dúctil Indiv. Max. Req (%) (merged),Area Dúctil Indiv. Min. Obt (%) (merged),Area Dúctil Indiv. Min. Req (%) (merged),Area Dúctil Prom. Max. Req (%) (merged),Area Dúctil Prom. Min. Obt (%) (merged),Area Dúctil Prom. Min. Req (%) (merged),Energia Indiv. Max. Req. (J) (merged),Energia Indiv. Min. Obt. (J) (merged),Energia Indiv. Min. Req. (J) (merged),Energia Prom. Max. Req. (J) (merged),Energia Prom. Min. Obt. (J) (merged),Energia Prom. Min. Req. (J) (merged),Temp Ensayo Req (merged)
DS641,TD900,32314,,4165656-6397681-510,S/TT,,,,,,,,,,,,,,,,,34.8,,34.7,,34.77,,34.77,,,,,,,,,,,,,,,,
DS747,13-5-2 95,11815,TN95 Super Cr13,4065894-6248693-610,45,,,,27.5,602,601,,,724,655,,,724,795,,,,,,,,,,,,,,,,,,,,,,,,,
DS747,13-5-2 95,11815,TN95 Super Cr13,4065894-6248737-610,45,,,,,,,,,,,,,,,,,25.6,,25.2,,25.43,,25.43,,,,,,,,,,,,,,,,
DS747,13-5-2 95,11815,TN95 Super Cr13,4065894-6248739-610,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,86,,,88,22,-10
DS747,13-5-2 95,11815,TN95 Super Cr13,4065894-6248740-610,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,87,,,88,,0
DS433,P110,11812,P110,4052468-6227368-625,10,,,,22.5,,,939,,965,758,939,,862,1014,,,,,,,,,,,,,,,,,,,,,,,,,
DS433,P110,11812,P110,4052468-6227369-625,10,,,,,,,,,,,,,,,,,34.5,,34.5,,34.23,,34.23,,,,,,,,,,,,,,,,
DS433,P110,11812,P110,4052468-6227371-625,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,69,,,70,,0
DS035,1035 BKS,35822,1035,4138904-6362790-540,5,,,12,17.5,590,,,,,550,,,650,682,,,,,,,,,,,,,,,,,,,,,,,,,
DS641,TD950,32354,,4201645-6445368-480,5,,,15,14,,,,,,850,862,,950,954,,,,,,,,,,,,,,,,,,,,,,,,,
DS641,TD950,32354,,4201645-6445369-480,5,,,,,,,,,,,,,,,,,30.7,,30.4,,30.6,,30.6,,,,,,,,,,,,,,,,
DS641,TD950,32354,,4201645-6445371-480,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,6,,,7,,0
DS433,P110,11812,P110,4033357-6198945-650,20,,,,27,,,834,,965,758,834,,862,906,,,,,,,,,,,,,,,,,,,,,,,,,
DS433,P110,11812,P110,4033357-6198946-650,20,,,,,,,,,,,,,,,,,30.7,,30.7,,30.1,,30.1,,,,,,,,,,,,,,,,
DS433,P110,11812,P110,4033357-6198948-650,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,84,,,86,,0
DS748,13-5-2 95,3228,TN95 Super Cr13,4084798-6287002-600,45,,,,34.5,696,670,,,724,655,,,724,841,,,,,,,,,,,,,,,,,,,,,,,,,
